Runs,Wkts,Balls,Ave,RPO,Ground,StartDate
839,31,1861,27.06,2.7,Melbourne,13 Feb 1959
1022,30,2512,34.06,2.44,Adelaide,30 Jan 1959
917,29,2758,31.62,1.99,Sydney,9 Jan 1959
696,32,1978,21.75,2.11,Melbourne,31 Dec 1958
665,32,2422,20.78,1.64,Brisbane,5 Dec 1958
658,28,1803,23.5,2.18,The Oval,23 Aug 1956
748,30,2097,24.93,2.14,Manchester,26 Jul 1956
608,30,2030,20.26,1.79,Leeds,12 Jul 1956
899,40,2522,22.47,2.13,Lord's,21 Jun 1956
673,23,2003,29.26,2.01,Nottingham,7 Jun 1956
710,23,1472,30.86,2.89,Sydney,25 Feb 1955
872,35,2509,24.91,2.08,Adelaide,28 Jan 1955
812,40,2105,20.3,2.31,Melbourne,31 Dec 1954
862,40,2142,21.55,2.41,Sydney,17 Dec 1954
1048,28,2362,37.42,2.66,Brisbane,26 Nov 1954
875,32,2032,27.34,2.58,The Oval,15 Aug 1953
855,34,2418,25.14,2.12,Leeds,23 Jul 1953
629,28,1527,22.46,2.47,Manchester,9 Jul 1953
1368,37,3158,36.97,2.59,Lord's,25 Jun 1953
636,31,1863,20.51,2.04,Nottingham,11 Jun 1953
829,32,2032,25.9,2.44,Melbourne,23 Feb 1951
1274,37,2956,34.43,2.58,Adelaide,2 Feb 1951
839,29,2243,28.93,2.24,Sydney,5 Jan 1951
722,40,1907,18.05,2.27,Melbourne,22 Dec 1950
450,34,1034,13.23,2.61,Brisbane,1 Dec 1950
629,30,1836,20.96,2.05,The Oval,14 Aug 1948
1723,31,3298,55.58,3.13,Leeds,22 Jul 1948
850,23,2369,36.95,2.15,Manchester,8 Jul 1948
1211,37,2644,32.72,2.74,Lord's,24 Jun 1948
1213,32,3041,37.9,2.39,Nottingham,10 Jun 1948
933,33,2265,28.27,2.47,Sydney,28 Feb 1947
1502,29,3525,51.79,2.55,Adelaide,31 Jan 1947
1562,37,3355,42.21,2.79,Melbourne,1 Jan 1947
1285,28,3005,45.89,2.56,Sydney,13 Dec 1946
958,30,2114,31.93,2.71,Brisbane,29 Nov 1946
1227,23,2530,53.34,2.9,The Oval,20 Aug 1938
695,35,1681,19.85,2.48,Leeds,22 Jul 1938
