Overs,Mdns,Runs,Wkts,Econ,Ave,SR,Opposition,Ground,StartDate,Player
35,7,93,4,2.65,23.25,52.5,West Indies,St John's,15 Feb 2009,broad
32,4,113,0,3.53,-,-,West Indies,Bridgetown,26 Feb 2009,broad
35,14,76,3,2.17,25.33,70,West Indies,Port of Spain,6 Mar 2009,broad
30.2,2,120,5,3.95,24,36.4,West Indies,Lord's,6 May 2009,broad
21,3,83,3,3.95,27.66,42,West Indies,Chester-le-Street,14 May 2009,broad
32,6,129,1,4.03,129,192,Australia,Cardiff,8 Jul 2009,broad
34,4,127,3,3.73,42.33,68,Australia,Lord's,16 Jul 2009,broad
29,4,89,2,3.06,44.5,87,Australia,Birmingham,30 Jul 2009,broad
25.1,6,91,6,3.61,15.16,25.1,Australia,Leeds,7 Aug 2009,broad
34,5,108,6,3.17,18,34,Australia,The Oval,20 Aug 2009,broad
48,13,132,3,2.75,44,96,South Africa,Centurion,16 Dec 2009,broad
37,9,87,6,2.35,14.5,37,South Africa,Durban,26 Dec 2009,broad
