Team,Score,Overs,RPO,Result,Opposition,Ground,StartDate
EN,365/8d,107,3.41,lost,AU,Leeds,22 Jul 1948
AU,404/3,114.1,3.53,won,EN,Leeds,22 Jul 1948
EN,52,42.1,1.23,lost,AU,The Oval,14 Aug 1948
AU,389,158.2,2.45,won,EN,The Oval,14 Aug 1948
EN,188,105.3,1.78,lost,AU,The Oval,14 Aug 1948
AU,228,55.5x8,3.07,won,EN,Brisbane,1 Dec 1950
EN,68/7d,22.0x8,2.31,lost,AU,Brisbane,1 Dec 1950
AU,32/7d,13.5x8,1.76,won,EN,Brisbane,1 Dec 1950
EN,122,38.0x8,2.4,lost,AU,Brisbane,1 Dec 1950
AU,194,59.1x8,2.46,won,EN,Melbourne,22 Dec 1950
EN,197,62.0x8,2.38,lost,AU,Melbourne,22 Dec 1950
AU,181,53.3x8,2.54,won,EN,Melbourne,22 Dec 1950
EN,150,63.7x8,1.76,lost,AU,Melbourne,22 Dec 1950
EN,290,98.7x8,2.19,lost,AU,Sydney,5 Jan 1951
AU,426,129.0x8,2.47,won,EN,Sydney,5 Jan 1951
EN,123,52.4x8,1.75,lost,AU,Sydney,5 Jan 1951
AU,371,96.5x8,2.87,won,EN,Adelaide,2 Feb 1951
EN,272,92.3x8,2.2,lost,AU,Adelaide,2 Feb 1951
AU,403/8d,101.6x8,2.97,won,EN,Adelaide,2 Feb 1951
EN,228,78.6x8,2.17,lost,AU,Adelaide,2 Feb 1951
AU,217,69.0x8,2.35,lost,EN,Melbourne,23 Feb 1951
EN,320,90.7x8,2.64,won,AU,Melbourne,23 Feb 1951
AU,197,64.3x8,2.29,lost,EN,Melbourne,23 Feb 1951
EN,95/2,29.6x8,2.39,won,AU,Melbourne,23 Feb 1951
AU,249,140.3,1.77,draw,EN,Nottingham,11 Jun 1953
EN,144,72.4,1.98,draw,AU,Nottingham,11 Jun 1953
AU,123,39.2,3.12,draw,EN,Nottingham,11 Jun 1953
EN,120/1,58,2.06,draw,AU,Nottingham,11 Jun 1953
AU,346,140.4,2.45,draw,EN,Lord's,25 Jun 1953
EN,372,126.5,2.93,draw,AU,Lord's,25 Jun 1953
AU,368,132.5,2.77,draw,EN,Lord's,25 Jun 1953
EN,282/7,126,2.23,draw,AU,Lord's,25 Jun 1953
AU,318,116.3,2.72,draw,EN,Manchester,9 Jul 1953
EN,276,120,2.3,draw,AU,Manchester,9 Jul 1953
AU,35/8,18,1.94,draw,EN,Manchester,9 Jul 1953
EN,167,109.4,1.52,draw,AU,Leeds,23 Jul 1953
AU,266,82.5,3.21,draw,EN,Leeds,23 Jul 1953
EN,275,177.3,1.54,draw,AU,Leeds,23 Jul 1953
AU,147/4,33,4.45,draw,EN,Leeds,23 Jul 1953
AU,275,81.3,3.37,lost,EN,The Oval,15 Aug 1953
EN,306,142.3,2.14,won,AU,The Oval,15 Aug 1953
AU,162,50.5,3.18,lost,EN,The Oval,15 Aug 1953
EN,132/2,63.5,2.06,won,AU,The Oval,15 Aug 1953
AU,601/8d,129.0x8,3.49,won,EN,Brisbane,26 Nov 1954
EN,190,76.1x8,1.87,lost,AU,Brisbane,26 Nov 1954
EN,257,90.1x8,2.13,lost,AU,Brisbane,26 Nov 1954
EN,154,54.3x8,2.12,won,AU,Sydney,17 Dec 1954
AU,228,55.4x8,3.08,lost,EN,Sydney,17 Dec 1954
EN,296,104.3x8,2.12,won,AU,Sydney,17 Dec 1954
AU,184,53.4x8,2.57,lost,EN,Sydney,17 Dec 1954
EN,191,67.6x8,2.11,won,AU,Melbourne,31 Dec 1954
AU,231,63.3x8,2.73,lost,EN,Melbourne,31 Dec 1954
EN,279,100.5x8,2.07,won,AU,Melbourne,31 Dec 1954
AU,111,31.3x8,2.65,lost,EN,Melbourne,31 Dec 1954
AU,323,99.1x8,2.44,lost,EN,Adelaide,28 Jan 1955
EN,341,140.6x8,1.81,won,AU,Adelaide,28 Jan 1955
AU,111,43.2x8,1.92,lost,EN,Adelaide,28 Jan 1955
EN,97/5,30.4x8,2.38,won,AU,Adelaide,28 Jan 1955
EN,371/7d,94.6x8,2.93,draw,AU,Sydney,25 Feb 1955
AU,221,60.4x8,2.73,draw,EN,Sydney,25 Feb 1955
AU,118/6,28.6x8,3.07,draw,EN,Sydney,25 Feb 1955
EN,217/8d,103.4,2.09,draw,AU,Nottingham,7 Jun 1956
AU,148,83.1,1.77,draw,EN,Nottingham,7 Jun 1956
EN,188/3d,61,3.08,draw,AU,Nottingham,7 Jun 1956
AU,120/3,86,1.39,draw,EN,Nottingham,7 Jun 1956
AU,285,146.1,1.94,won,EN,Lord's,21 Jun 1956
EN,171,82,2.08,lost,AU,Lord's,21 Jun 1956
AU,257,92.5,2.76,won,EN,Lord's,21 Jun 1956
EN,186,99.2,1.87,lost,AU,Lord's,21 Jun 1956
EN,325,167.4,1.93,won,AU,Leeds,12 Jul 1956
AU,143,71.1,2,lost,EN,Leeds,12 Jul 1956
AU,140,99.3,1.4,lost,EN,Leeds,12 Jul 1956
EN,459,158.3,2.89,won,AU,Manchester,26 Jul 1956
AU,84,40.4,2.06,lost,EN,Manchester,26 Jul 1956
AU,205,150.2,1.36,lost,EN,Manchester,26 Jul 1956
EN,247,109.2,2.25,draw,AU,The Oval,23 Aug 1956
AU,202,92,2.19,draw,EN,The Oval,23 Aug 1956
EN,182/3d,61,2.98,draw,AU,The Oval,23 Aug 1956
AU,27/5,38.1,0.7,draw,EN,The Oval,23 Aug 1956
EN,134,59.4x8,1.68,lost,AU,Brisbane,5 Dec 1958
AU,186,72.1x8,1.93,won,EN,Brisbane,5 Dec 1958
EN,198,119.2x8,1.24,lost,AU,Brisbane,5 Dec 1958
AU,147/2,51.7x8,2.12,won,EN,Brisbane,5 Dec 1958
EN,259,98.5x8,1.96,lost,AU,Melbourne,31 Dec 1958
AU,308,100.2x8,2.3,won,EN,Melbourne,31 Dec 1958
EN,87,31.2x8,2.08,lost,AU,Melbourne,31 Dec 1958
AU,42/2,17.1x8,1.83,won,EN,Melbourne,31 Dec 1958
EN,219,82.4x8,1.99,draw,AU,Sydney,9 Jan 1959
AU,357,128.2x8,2.08,draw,EN,Sydney,9 Jan 1959
EN,287/7d,109.0x8,1.97,draw,AU,Sydney,9 Jan 1959
AU,54/2,25.0x8,1.62,draw,EN,Sydney,9 Jan 1959
AU,476,128.1x8,2.78,won,EN,Adelaide,30 Jan 1959
EN,240,74.1x8,2.42,lost,AU,Adelaide,30 Jan 1959
EN,270,101.3x8,1.99,lost,AU,Adelaide,30 Jan 1959
AU,36/0,10.3x8,2.6,won,EN,Adelaide,30 Jan 1959
EN,205,64.5x8,2.37,lost,AU,Melbourne,13 Feb 1959
AU,351,100.5x8,2.61,won,EN,Melbourne,13 Feb 1959
EN,214,54.4x8,2.94,lost,AU,Melbourne,13 Feb 1959
AU,69/1,12.7x8,4.01,won,EN,Melbourne,13 Feb 1959
EN,195,84.3,2.3,draw,AU,Birmingham,8 Jun 1961
